,YAD,AECI,HST,TAL,DUK,FPC,CPLE,CPLW,EEI,FPL,GRID,ISNE,JEA,LGEE,MISO,NSB,NYISO,NWMT,OVEC,PJM,AEC,PNM,SEC,SC,SEPA,SOCO,SWPP,SPA,TEC,TVA,WACM,WAUW,NB,ERCOT
7840,118.0,,,,421.0,23.0,1.0,73.0,,,,574.0,,93.0,991.0,,3181.0,411.0,0.0,1504.0,0.0,17.0,,12.0,0.0,590.0,1996.0,592.0,,2340.0,524.0,55.0,0.0,0.0
7841,123.0,,,,596.0,22.0,42.0,75.0,,,,926.0,,92.0,1018.0,,3511.0,405.0,0.0,2753.0,0.0,17.0,,4.0,0.0,642.0,1996.0,595.0,,2518.0,566.0,54.0,0.0,0.0
7842,122.0,,,,981.0,37.0,42.0,74.0,,,,1571.0,,92.0,1099.0,,3657.0,410.0,0.0,2786.0,0.0,17.0,,4.0,133.0,990.0,1996.0,591.0,,2773.0,629.0,58.0,0.0,0.0
7843,123.0,,,,710.0,37.0,43.0,74.0,,,,1219.0,,92.0,1528.0,,3539.0,406.0,0.0,1734.0,0.0,17.0,,1.0,176.0,1416.0,1996.0,587.0,,3210.0,807.0,59.0,0.0,0.0
7844,123.0,,,,622.0,24.0,3.0,73.0,,,,912.0,,92.0,1187.0,,3548.0,405.0,0.0,1723.0,0.0,17.0,,3.0,108.0,1616.0,1996.0,508.0,,3107.0,831.0,59.0,0.0,0.0
7845,122.0,,,,267.0,21.0,0.0,74.0,,,,755.0,,92.0,1064.0,,3563.0,406.0,0.0,952.0,0.0,17.0,,4.0,92.0,1606.0,1996.0,420.0,,2853.0,907.0,55.0,0.0,0.0
7846,121.0,,,,222.0,21.0,0.0,74.0,,,,680.0,,92.0,1054.0,,3553.0,405.0,0.0,765.0,0.0,17.0,,5.0,0.0,1361.0,1996.0,417.0,,3114.0,869.0,55.0,0.0,0.0
7847,7.0,,,,225.0,21.0,0.0,73.0,,,,578.0,,92.0,1041.0,,3430.0,403.0,0.0,445.0,0.0,17.0,,121.0,0.0,759.0,1996.0,412.0,,2834.0,840.0,62.0,0.0,0.0
7848,0.0,,,,0.0,21.0,0.0,74.0,,,,577.0,,92.0,1045.0,,3461.0,404.0,0.0,443.0,0.0,17.0,,122.0,0.0,414.0,1996.0,413.0,,2025.0,756.0,60.0,0.0,0.0
7849,1.0,,,,0.0,20.0,0.0,73.0,,,,561.0,,94.0,998.0,,3337.0,405.0,0.0,446.0,0.0,17.0,,72.0,0.0,396.0,1996.0,380.0,,1707.0,592.0,56.0,0.0,0.0
7850,0.0,,,,0.0,21.0,0.0,73.0,,,,556.0,,91.0,912.0,,3157.0,397.0,0.0,564.0,0.0,17.0,,72.0,0.0,404.0,1565.0,381.0,,1079.0,593.0,63.0,0.0,0.0
7851,1.0,,,,0.0,20.0,0.0,74.0,,,,531.0,,93.0,904.0,,2796.0,401.0,0.0,616.0,0.0,17.0,,70.0,0.0,507.0,1564.0,387.0,,757.0,553.0,60.0,0.0,0.0
7852,0.0,,,,0.0,21.0,0.0,74.0,,,,526.0,,91.0,904.0,,2724.0,399.0,0.0,549.0,0.0,17.0,,35.0,0.0,509.0,1559.0,388.0,,742.0,537.0,48.0,0.0,0.0
7853,1.0,,,,0.0,20.0,0.0,74.0,,,,506.0,,93.0,907.0,,3001.0,396.0,0.0,663.0,0.0,17.0,,3.0,0.0,648.0,1556.0,391.0,,752.0,559.0,45.0,0.0,0.0
7854,2.0,,,,0.0,21.0,0.0,74.0,,,,495.0,,89.0,905.0,,3131.0,403.0,0.0,806.0,0.0,17.0,,4.0,0.0,554.0,1563.0,389.0,,1051.0,522.0,60.0,0.0,0.0
7855,120.0,,,,57.0,21.0,22.0,74.0,,,,529.0,,63.0,907.0,,3204.0,401.0,0.0,971.0,0.0,17.0,,2.0,25.0,706.0,1785.0,388.0,,1637.0,451.0,61.0,0.0,0.0
7856,122.0,,,,201.0,21.0,39.0,74.0,,,,573.0,,62.0,1023.0,,3439.0,398.0,0.0,902.0,0.0,17.0,,4.0,34.0,873.0,2041.0,587.0,,2415.0,520.0,39.0,0.0,0.0
7857,124.0,,,,201.0,22.0,19.0,74.0,,,,647.0,,63.0,1042.0,,3441.0,403.0,0.0,966.0,1.0,17.0,,4.0,62.0,1191.0,2138.0,647.0,,2694.0,649.0,41.0,0.0,0.0
7858,121.0,,,,187.0,24.0,0.0,74.0,,,,629.0,,62.0,1059.0,,3532.0,408.0,0.0,953.0,23.0,17.0,,3.0,60.0,1204.0,2354.0,643.0,,3024.0,650.0,41.0,0.0,0.0
7859,123.0,,,,0.0,29.0,0.0,74.0,,,,629.0,,64.0,1080.0,,3557.0,405.0,0.0,613.0,78.0,17.0,,3.0,0.0,1020.0,2369.0,638.0,,2942.0,589.0,45.0,0.0,0.0
7860,8.0,,,,0.0,29.0,0.0,74.0,,,,624.0,,63.0,1067.0,,3595.0,405.0,0.0,574.0,43.0,17.0,,3.0,0.0,629.0,2381.0,590.0,,2259.0,588.0,44.0,0.0,0.0
7861,0.0,,,,0.0,29.0,0.0,74.0,,,,559.0,,63.0,982.0,,3545.0,404.0,0.0,575.0,39.0,17.0,,35.0,0.0,574.0,2374.0,588.0,,2090.0,575.0,51.0,0.0,0.0
7862,2.0,,,,0.0,29.0,0.0,74.0,,,,545.0,,64.0,958.0,,3481.0,399.0,0.0,575.0,36.0,17.0,,81.0,0.0,503.0,2198.0,584.0,,1810.0,572.0,54.0,0.0,0.0
7863,3.0,,,,0.0,29.0,0.0,74.0,,,,554.0,,63.0,947.0,,3357.0,406.0,0.0,585.0,2.0,17.0,,79.0,0.0,513.0,2104.0,607.0,,1659.0,582.0,55.0,0.0,0.0
