bus_i,link,lon,lat,typ,State,BA_Assumption
6916,source,-80.603378,36.507168,sub_station,NC,DUK
6922,source,-80.338223,35.219057,station,NC,DUK
6930,source,-80.574267,35.46589,sub_station,NC,DUK
6938,source,-80.737286,35.483866,sub_station,NC,DUK
6939,sink,-80.880145,35.580367,substation,NC,DUK
6940,source,-80.82274,35.561652,substation,NC,DUK
6941,source,-80.840779,35.567524,sub_station,NC,DUK
6942,source,-80.705233,35.422168,sub_station,NC,DUK
6953,source,-80.300386,35.924434,sub_station,NC,DUK
6954,source,-80.328434,35.805844,sub_station,NC,DUK
6955,source,-80.275185,35.962836,substation,NC,DUK
6956,source,-80.312492,35.970927,substation,NC,DUK
6964,source,-80.29249,36.029375,sub_station,NC,DUK
6965,source,-80.36475,36.276601,sub_station,NC,DUK
6966,source,-80.556547,36.432938,substation,NC,DUK
6967,source,-80.30627,36.244754,substation,NC,DUK
6968,source,-80.439658,36.33054,sub_station,NC,DUK
6969,source,-80.598276,36.480655,sub_station,NC,DUK
6971,source,-80.636841,36.143176,sub_station,NC,DUK
6972,sink,-80.302879,36.248695,sub_station,NC,DUK
6974,source,-80.651721,36.143082,sub_station,NC,DUK
6976,sink,-80.656587,36.140799,sub_station,NC,DUK
6977,source,-80.397874,35.981041,substation,NC,DUK
6978,source,-80.692144,36.205178,sub_station,NC,DUK
6980,sink,-80.649904,36.138709,sub_station,NC,DUK
6981,source,-80.475628,36.380437,sub_station,NC,DUK
6982,source,-80.52385954,36.41410208,sub_station,NC,DUK
6984,source,-80.63312,36.125958,sub_station,NC,DUK
6986,sink,-80.362819,36.246883,substation,NC,DUK
6987,source,-80.645202,36.495529,sub_station,NC,DUK
6991,source,-80.63002827,36.44947552,sub_station,NC,DUK
7011,source,-79.83299,36.330792,substation,NC,DUK
7014,source,-79.752649,36.366014,substation,NC,DUK
7026,sink,-79.72188,36.158341,substation,NC,DUK
7031,source,-79.812887,35.893395,sub_station,NC,DUK
7041,sink,-80.01384,36.018238,substation,NC,DUK
7044,source,-81.129553,36.161508,sub_station,Outside of NC,DUK
7045,source,-81.110449,36.177252,sub_station,Outside of NC,DUK
7046,source,-81.050885,36.173209,sub_station,Outside of NC,DUK
7047,sink,-81.034616,36.199902,sub_station,NC,DUK
7049,source,-80.818474,36.221086,sub_station,NC,DUK
7050,source,-79.01459655,35.41514013,substation,NC,CPLE
7061,source,-78.997355,35.324175,substation,NC,CPLE
7062,sink,-78.263876,34.42345,substation,NC,CPLE
7064,source,-78.99437195,35.21481901,substation,NC,CPLE
7065,source,-79.02982,35.03882,substation,NC,CPLE
7066,source,-78.995557,35.196802,substation,NC,CPLE
7067,source,-79.022133,35.068281,substation,NC,CPLE
7089,source,-78.686195,34.326788,substation,NC,CPLE
7091,source,-78.80631424,34.74184699,substation,NC,CPLE
7092,source,-78.80745,34.745513,substation,NC,CPLE
7555,source,-78.862645,36.478689,sub_station,NC,DUK
7557,source,-78.891034,36.260287,sub_station,NC,DUK
7559,source,-78.913373,36.490303,substation,NC,DUK
7566,source,-78.811692,35.909525,substation,NC,DUK
7587,source,-78.825624,35.76203,sub_station,NC,DUK
7588,source,-78.841643,35.819497,substation,NC,DUK
7589,source,-78.894045,35.820016,sub_station,NC,DUK
7590,source,-78.805784,35.799246,substation,NC,DUK
7591,source,-78.827713,35.75046,substation,NC,DUK
7592,sink,-78.797537,35.986614,substation,NC,DUK
7597,source,-78.504563,35.716162,sub_station,NC,DUK
7599,source,-78.654238,35.908656,substation,NC,DUK
7600,source,-78.716953,35.918533,substation,NC,DUK
7601,source,-78.578126,35.924641,substation,NC,DUK
7602,source,-78.62386,35.901162,substation,NC,DUK
7607,sink,-78.561781,35.828273,sub_station,NC,DUK
7608,source,-78.571123,35.859629,substation,NC,DUK
7618,source,-78.638705,35.52888,sub_station,NC,CPLE
7619,source,-78.827826,35.098895,substation,NC,CPLE
7699,source,-78.916656,35.021024,station,NC,CPLE
7700,sink,-78.790651,35.113589,substation,NC,CPLE
7701,source,-78.870562,35.128251,substation,NC,CPLE
7702,source,-78.891896,35.131116,substation,NC,CPLE
7703,source,-78.91189,35.140327,substation,NC,CPLE
9412,sink,-80.885995,35.659925,sub_station,NC,DUK
9413,source,-77.892807,34.385872,sub_station,NC,CPLE
9414,source,-80.156794,36.07175,substation,NC,DUK
9418,source,-77.980439,34.722841,substation,NC,CPLE
9419,source,-77.962758,34.724487,substation,NC,CPLE
9439,source,-77.51520325,34.76259607,substation,NC,CPLE
9440,source,-77.447015,34.803335,substation,NC,CPLE
9441,source,-77.830294,34.474766,sub_station,NC,CPLE
9453,sink,-77.42781129,34.75745575,substation,NC,CPLE
9454,source,-77.2247108,34.81279749,sub_station,NC,CPLE
9455,source,-77.384386,34.759389,substation,NC,CPLE
9456,source,-77.181511,34.851817,joint,NC,CPLE
9457,source,-77.328387,34.741827,sub_station,NC,CPLE
9458,source,-77.422875,34.777623,substation,NC,CPLE
9477,source,-76.90893309,34.85890064,sub_station,NC,CPLE
9479,source,-77.210003,35.056918,substation,NC,CPLE
9480,source,-77.123575,35.141329,station,NC,CPLE
9483,source,-77.168434,35.128478,sub_station,NC,CPLE
9484,source,-77.664628,35.222287,station,NC,CPLE
9487,source,-78.060215,35.303815,sub_station,NC,CPLE
9488,source,-78.030352,35.260111,sub_station,NC,CPLE
9505,source,-77.762255,35.747654,sub_station,NC,CPLE
9506,source,-77.763354,35.749436,sub_station,NC,CPLE
9507,sink,-77.710457,35.706093,sub_station,NC,CPLE
9508,source,-77.365511,35.625824,substation,NC,CPLE
9820,source,-78.762113,34.563374,station,NC,CPLE
9821,source,-78.794823,34.296214,station,NC,CPLE
9822,source,-78.890678,34.949893,substation,NC,CPLE
9823,source,-78.981996,35.154032,substation,NC,CPLE
9824,sink,-78.991665,35.060466,station,NC,CPLE
9825,source,-77.98603,34.317406,station,NC,CPLE
9829,source,-77.860433,34.200115,station,NC,CPLE
9830,source,-77.826834,34.268878,station,NC,CPLE
9831,source,-77.89382,34.159744,substation,NC,CPLE
9832,sink,-77.828212,34.225553,station,NC,CPLE
9833,source,-77.872433,34.286247,station,NC,CPLE
9834,source,-77.886477,34.25078,station,NC,CPLE
9835,source,-77.87337,34.254423,station,NC,CPLE
9836,sink,-77.637029,34.784249,station,NC,CPLE
9837,source,-77.69018077,34.39127614,station,NC,CPLE
9838,source,-77.503538,34.798837,substation,NC,CPLE
9840,source,-79.143592,34.246085,joint,Outside of NC,CPLE
9841,source,-78.994821,34.270472,station,NC,CPLE
9846,source,-79.438444,34.760215,station,NC,CPLE
9849,source,-79.293338,34.555656,station,NC,CPLE
9850,source,-79.095412,34.592281,station,NC,CPLE
9851,source,-79.034545,34.564619,station,NC,CPLE
9852,source,-79.398108,34.744365,station,NC,CPLE
9858,source,-78.016885,36.074616,sub_station,NC,CPLE
9859,source,-78.392148,36.280579,substation,NC,CPLE
9862,sink,-76.781433,35.373247,station,NC,CPLE
9863,sink,-76.878414,35.293429,station,NC,CPLE
9864,source,-76.80586332,35.14839274,station,NC,CPLE
9865,source,-77.421754,35.617279,substation,NC,CPLE
9866,source,-76.83987129,35.14668214,station,NC,CPLE
9867,sink,-77.114339,35.153635,station,NC,CPLE
9868,source,-77.119159,35.474559,substation,NC,CPLE
9869,source,-77.975252,34.821986,substation,NC,CPLE
9870,source,-78.091309,35.008746,station,NC,CPLE
9871,source,-77.987565,34.885482,station,NC,CPLE
9872,source,-77.978757,34.817029,substation,NC,CPLE
9873,source,-77.697809,35.242268,sub_station,NC,CPLE
9874,source,-78.279907,35.058365,substation,NC,CPLE
9876,source,-78.109442,35.187009,station,NC,CPLE
9877,source,-78.603652,35.319572,station,NC,CPLE
9881,source,-79.533262,34.802287,station,NC,CPLE
9885,source,-78.969036,34.978501,station,NC,CPLE
9886,source,-79.684806,34.910536,substation,NC,CPLE
9887,source,-79.169121,34.929917,substation,NC,CPLE
9994,source,-79.458661,35.279832,station,NC,CPLE
9995,source,-79.183087,35.462252,station,NC,CPLE
